rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood
1545,2550,0.0,1,480,9,2.0,17,1,1,0,0,1,1,0,1,Upper East Side
2472,11500,2.0,2,2000,4,1.0,96,0,0,0,0,0,0,0,0,Greenwich Village
2919,4500,1.0,1,916,2,51.0,29,0,1,0,1,1,1,0,0,Midtown
2790,4795,1.0,1,975,3,8.0,31,0,0,0,1,1,1,0,1,Greenwich Village
3946,17500,2.0,2,4800,3,4.0,136,0,0,0,1,1,1,0,1,Soho
10817,3800,3.0,2,1100,3,5.0,101,0,0,0,0,0,0,0,0,Central Harlem
9077,1995,0.0,0,600,6,1.0,115,0,0,0,0,0,0,0,0,Midtown East
5150,2995,0.0,1,579,6,21.0,33,0,0,0,0,0,0,0,0,Battery Park City
9507,15000,2.0,2,1715,0,30.0,2,0,0,0,0,0,0,0,0,Flatiron
1437,4650,1.0,1,915,5,5.0,106,0,0,0,0,0,0,0,0,Upper East Side
404,2950,1.0,1,550,43,17.0,14,1,1,0,1,1,0,0,0,Upper East Side
8293,6920,3.0,2,1439,7,9.0,39,1,0,0,0,0,0,0,0,Midtown East
6594,4875,1.0,1,900,1,14.0,52,1,0,1,1,1,1,0,1,East Village
2964,4850,1.0,1,789,2,40.0,11,0,0,0,0,0,0,0,0,Midtown West
5405,3700,1.0,1,947,5,5.0,85,1,0,1,0,1,0,1,0,Upper East Side
5635,4200,2.0,1,900,4,8.0,111,1,0,0,0,0,0,0,0,Upper West Side
5832,2195,1.0,1,500,3,3.0,106,1,0,0,0,0,0,0,0,Lower East Side
7050,4200,1.0,1,640,3,15.0,52,1,0,0,0,0,0,0,0,Tribeca
476,9000,2.0,2,1749,4,15.0,10,0,0,0,1,0,0,0,0,Midtown East
3491,4950,1.0,1,870,2,9.0,11,0,1,1,0,0,1,0,0,Midtown
2172,3000,0.5,1,573,11,8.0,31,0,0,0,0,1,0,0,0,Upper East Side
2443,2450,1.0,1,700,3,2.0,106,0,0,0,0,0,0,0,0,Central Harlem
11328,1950,0.0,1,400,6,3.0,56,0,1,1,0,0,1,0,0,Gramercy Park
6142,3375,1.0,1,652,3,12.0,15,1,0,0,0,0,0,0,0,Upper West Side
6216,2395,2.5,1,1000,3,1.0,106,0,0,0,0,0,0,0,0,East Harlem
9535,4990,1.0,1,823,5,22.0,44,1,0,0,0,0,0,0,0,Midtown East
4678,7495,2.0,2,1431,3,4.0,10,0,1,1,1,1,1,0,1,Upper West Side
5169,10000,1.0,2,1600,2,3.0,5,1,0,0,0,1,0,0,0,Tribeca
5230,3090,2.0,1,800,10,3.0,106,0,0,0,0,0,0,0,0,East Village
1710,10904,3.0,3,1307,6,26.0,6,1,0,0,0,0,0,0,0,Upper West Side
11111,2100,0.0,1,410,8,3.0,106,0,0,0,0,0,0,0,0,Midtown West
10393,2499,0.0,1,400,2,3.0,116,1,1,1,1,1,0,0,1,Upper West Side
9177,3650,2.0,1,763,10,30.0,27,0,0,0,1,1,0,0,1,Midtown East
9536,3800,2.0,1,900,4,6.0,116,0,0,0,0,0,0,0,0,Lower East Side
133,9800,2.0,2,1270,7,7.0,6,0,1,1,1,1,0,0,0,Gramercy Park
4687,4350,1.0,1,783,2,6.0,29,0,1,0,1,1,0,0,0,West Village
4557,2495,2.0,1,800,4,4.0,96,0,0,0,0,0,0,0,0,Upper East Side
403,3625,1.0,1,650,43,19.0,14,1,0,0,0,0,0,0,0,Upper East Side
899,9000,2.0,2,1250,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West
4733,5800,2.0,2,1200,2,6.0,75,0,0,0,0,1,1,0,0,Central Park South
2154,3295,1.0,1,465,5,2.0,29,0,1,0,1,1,0,0,0,West Village
1348,2200,0.0,1,325,6,24.0,87,0,1,0,1,1,1,0,0,Midtown East
10158,5485,2.0,1,1028,7,24.0,39,1,0,1,0,0,1,0,0,Midtown East
668,2950,0.0,1,765,2,4.0,29,0,1,0,1,1,0,0,1,Upper West Side
4268,2750,1.0,1,600,9,12.0,57,0,0,0,0,0,0,0,0,Midtown East
10716,8200,2.0,2,1431,9,8.0,7,0,0,0,0,0,0,1,0,Chelsea
6366,2000,2.0,1,750,3,1.0,106,0,0,0,1,0,0,1,0,Central Harlem
9899,4995,3.0,1,1100,2,2.0,13,0,0,0,1,1,0,0,1,Financial District
8005,1875,2.0,1,900,3,4.0,91,0,0,0,0,0,0,0,0,Inwood
8976,3900,1.0,1,750,6,6.0,106,1,0,0,0,0,0,0,0,Gramercy Park
3637,2400,0.0,1,500,9,1.0,106,1,0,0,0,0,0,0,0,Upper East Side
9019,5325,1.0,1,697,2,36.0,13,1,0,0,0,0,0,0,0,Flatiron
